Job Title,Company Name,Location,Required Skills,Post Date and Time,More Info
Senior Accountant,Yeti Polychem,Kathmandu,"Communication, Account, Management, Tally, Analytical, Accounting","April 9, 2021, 11:55 p.m.",https://merojob.com/senior-accountant-282/
Junior Surveillance Officer,Tiger Palace Resort,Bhairahawa,"Interpersonal, Communication, Teamwork, Reporting","April 6, 2021, 11:55 p.m.",https://merojob.com/junior-surveillance-officer/
Senior Marketing Officer,Trilogy Digital Media (TDM),"Kathmandu, Central Development Region, Nepal",NULL,"April 8, 2021, 11:55 p.m.",https://merojob.com/senior-marketing-officer-23/
Gender Based Violence and Prote…,Care Nepal,Kathmandu,"Interpersonal, Communication, Time, Management","April 12, 2021, 5 p.m.",https://merojob.com/gender-based-violence-and-protection-in-emergencies-advisor/
Sales Associate,Felt and Yarn,"Khusibhu, Kathmandu, Nepal","Active, Listening, Customer, Relationship, Management, Logical, Thinking, Communication, ,, Problem, Solving","April 6, 2021, 2:25 p.m.",https://merojob.com/sales-associate-24/
Media Engagement Specialist,Internews,Kathmandu,"Interpersonal, Communication, Organizational, Time, Management","April 14, 2021, 11:55 p.m.",https://merojob.com/media-engagement-specialist/
Team Lead- Live Chat,daraz,Kathmandu,"Leadership, Communication, Teamwork, Analytical, Presentation","April 9, 2021, 11:55 p.m.",https://merojob.com/team-lead-live-chat/
Content Enhancement Manager,daraz,Kathmandu,"Decision, Making, Project, Management, Communication, Analytical","April 9, 2021, 11:55 p.m.",https://merojob.com/content-enhancement-manager/
Project Manager,daraz,Kathmandu,"Communication, Negotiation, Organizational, Time, Management, Ms-Office","April 9, 2021, 11:55 p.m.",https://merojob.com/project-manager-420/
Full Stack Developer,Ashutosh Brokerage and Securities,"Kathmandu, Nepal","Html, Css, Javascript, Oracle, Mysql, Python","April 9, 2021, 11:55 p.m.",https://merojob.com/full-stack-developer-54/
Phys Ed Trainer,Play Nepal,"Kathmandu, Bhaktapur, Lalitpur","Time, Management, Interpersonal, Communication, Leadership","April 9, 2021, 11:55 p.m.",https://merojob.com/phys-ed-trainer/
Video Program Producer,Kada Khabar,Kathmandu,NULL,"April 9, 2021, 11:55 p.m.",https://merojob.com/video-program-producer/
Sales Development Associate (Ni…,Fusemachines Nepal,"Kamaladi, Kathmandu","Online, Research, Skill, Communication, Google, Apps","April 6, 2021, 11:55 p.m.",https://merojob.com/sales-development-associate-nightevening-shift-2/
Outreach Worker (ORW),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Reporting","April 5, 2021, 5 p.m.",https://merojob.com/outreach-worker-orw-2/
Team Leader,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Record, Keeping, Interpersonal, Communication, Time, Management","April 5, 2021, 5 p.m.",https://merojob.com/team-leader-46/
District Project Coordinator (D…,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Record, Keeping, Interpersonal, Communication, Time, Management, Documentation","April 5, 2021, 5 p.m.",https://merojob.com/district-project-coordinator-dpc-3/
Program Support Coordinator,Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Documentation","April 5, 2021, 5 p.m.",https://merojob.com/program-support-coordinator/
Admin/Logistic Assistant (ALA),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Time, Management, Microsoft, Office, Suite","April 5, 2021, 5 p.m.",https://merojob.com/adminlogistic-assistant-ala/
Admin/Finance Officer (AFO),Trisuli Plus Community Action Group,"Dhangadhi, Kailali (Frequent travel to project district)","Interpersonal, Communication, Accounting, Microsoft, Office, Suite","April 5, 2021, 5 p.m.",https://merojob.com/adminfinance-officer-afo-2/
Fullstack Developer (PHP),UBA Solutions,"Thadodhunga Chowk, Jhamsikhel Road-3, Lalitpur, Nepal","Programming, Skills, Apis, Nosql, Database, Nodejs","April 10, 2021, 11:55 p.m.",https://merojob.com/software-engineer-121/
Admin and Finance Officer (AFO),"Social Awareness Center(SAC) Nepal,Surkhet","Project Office, Dolpa, (With frequently field visit in proj…","Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/admin-and-finance-officer-afo/
Program Coordinator (PC),"Social Awareness Center(SAC) Nepal,Surkhet","Project Office, Dolpa, (With frequently field visit in proj…","Interpersonal, Communication, Time, Management","March 31, 2021, 11:55 p.m.",https://merojob.com/program-coordinator-pc-3/
Country Director,Action Against Hunger,NULL,"Strategic, Planning, Leadership, Management, Communication","April 12, 2021, 5 p.m.",https://merojob.com/country-director-27/
Student Service Officer,International School of Management and Technology (ISMT),"Pokhara, Nepal","Interpersonal, Counselling, School, Administration","April 8, 2021, 11:55 p.m.",https://merojob.com/student-service-officer-3/
Database Management System & Da…,International School of Management and Technology (ISMT),"Kathmandu, Nepal","Data, Structure, And, Algorithm, App, Development, Sql, C/C++, Database, Management","April 8, 2021, 11:55 p.m.",https://merojob.com/database-management-system-data-structure-and-algorithm/
Admin Associate,daraz,Kathmandu,"Communication, Time, Management, Interpersonal, Multitasking","April 8, 2021, 11:55 p.m.",https://merojob.com/admin-associate-8/
Geologist,RM Group,Out of Valley,"Communication, Auditing, Research, Reporting, Financial, Forecasting","April 2, 2021, 11:55 p.m.",https://merojob.com/geologist-46/
Backend Developer (Python),Tekvortex,"Harihar Bhawan, Pulchowk","Data, Analytics, Big, Data, Python, Backend","April 5, 2021, 11:55 p.m.",https://merojob.com/backend-developer-python-11/
Full Stack Developer (Python),Tekvortex,"Pulchowk, Lalitpur","React, Communication, Vuejs, Django, Framework, Python","April 5, 2021, 11:55 p.m.",https://merojob.com/full-stack-developer-python-4/
Data Scientist,Tekvortex,"Pulchowk, Lalitpur","Data, Analysis, Python, Statistical, Modelling","April 5, 2021, 11:55 p.m.",https://merojob.com/data-scientist-6/
Project Management Officer,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/project-management-officer-4/
Sales Support Executive,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-support-executive-6/
Sales Executive,SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management","April 5, 2021, 11:55 p.m.",https://merojob.com/sales-executive-624/
"Project Assistant, Junior Busin…",SeeLogic International,Kathmandu,"Interpersonal, Communication, Time, Management, Microsoft, Office, Suite","April 5, 2021, 11:55 p.m.",https://merojob.com/project-assistant-junior-business-analyst/
Project Coordinator,VSO Nepal,Baglung,NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/project-coordinator-210/
Monitoring and Evaluation Coord…,VSO Nepal,Nepal,NULL,"April 1, 2021, 11:55 p.m.",https://merojob.com/monitoring-and-evaluation-coordinator-2/
National Volunteer – Learning A…,VSO Nepal,Nepal,"Interpersonal, Communication, Problem, Solving","April 10, 2021, 11:55 p.m.",https://merojob.com/national-volunteer-learning-advisor/
IT Operations Officer,Innovate Nepal Group,Kathmandu,"Switching, Routing, Linux, Cisco, Virtualization, Mikrotik, Windows, Server, Networking, Wireless","March 31, 2021, 11:55 p.m.",https://merojob.com/it-operations-officer-2/
Subject Expert- Online BBA Degr…,Innovate Tech,Kathmandu,NULL,"April 2, 2021, 11:55 p.m.",https://merojob.com/content-expert-online-bba-degree/
Maths Teacher Lower Secondary,Matribhumi School,Kathmandu,"Interpersonal, Leadership, Communication, Problem, Solving, Presentation","April 5, 2021, 11:55 p.m.",https://merojob.com/maths-teacher-lower-secondary-5/
UI/UX designer,Maruti Global Express,Lalitpur/Butwal,"Figma, Adobexd","April 4, 2021, 11:55 p.m.",https://merojob.com/uiux-designer-64/
Export Documentation Officer,Felt and Yarn,Kathmandu,"Communication, Multitasking, Time, Management, Teamwork, Ms-Office","April 1, 2021, 11:55 p.m.",https://merojob.com/export-documentation-officer/
Business Development Officer,Mukundo.COM,Kirtipur,NULL,"April 4, 2021, 11:55 p.m.",https://merojob.com/business-development-officer-452/
Site Supervisor,NULL,Kathmandu,"Interpersonal, Communication, Multitasking, Time, Management","March 30, 2021, 11:55 p.m.",https://merojob.com/site-supervisor-46/
Data Coordinator (Night Shift),Centrix,"Bansbari Road, Kathmandu, Nepal","Persuasive, Counselling, Telesales, Telephonic, English, Customer, Service, Telemarketing","March 30, 2021, 11:55 p.m.",https://merojob.com/data-coordinator-2/
Full stack React. Js / Node.js …,Dzango Technologies Limited,Kathmandu,"Database, Management, Node.Js, React, Web, Architecture","April 1, 2021, 11:55 p.m.",https://merojob.com/full-stack-react-js-nodejs-full-stack-developer/
Director of Teacher Training an…,Karkhana,Kathmandu,NULL,"March 30, 2021, 11:55 p.m.",https://merojob.com/director-of-teacher-training-and-curriculum-development/
Maternal Newborn Child Health a…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Surkhet,"Fluency, In, English","April 3, 2021, 11:55 p.m.",https://merojob.com/maternal-newborn-child-health-and-family-planning-mnch-fp-specialist-6/
Technical Program Officer,USAID’s Strengthening Systems for Better Health (SSBH) Activity,"Surkhet, Karnali Province, Nepal","Communication, Writing","April 3, 2021, 11:55 p.m.",https://merojob.com/technical-program-officer-2/
Technical Officer – Health Info…,USAID’s Strengthening Systems for Better Health (SSBH) Activity,Jumla,"Communication, Skills, Report, Writing, Analytical","April 3, 2021, 11:55 p.m.",https://merojob.com/technical-officer-health-information-systems-5/
